K,mean
24,7.996787
48,7.999232
72,7.999216
96,7.999227
120,7.999230
144,7.999220
168,7.999228
192,7.999224
216,7.999232
240,7.999224
264,7.999232
288,7.999233
312,7.999223
336,7.999218
360,7.999222
384,7.999214
