K,mean
24,99.554507
48,99.611473
72,99.606005
96,99.609629
120,99.608676
144,99.593735
168,99.593608
192,99.584516
216,99.583117
240,99.583308
264,99.580892
288,99.582481
312,99.578285
336,99.578603
360,99.578158
384,99.569702
