K,value
24,0.008826
24,0.031644
24,0.026872
24,0.025614
24,0.026498
24,0.022757
24,0.019374
24,0.018656
24,0.040378
24,0.016439
24,0.015777
24,0.004858
24,0.030541
24,0.031360
24,0.025784
24,0.023906
24,0.017127
24,0.004444
24,0.019024
24,0.008977
24,0.017619
24,0.037872
24,0.051015
24,0.018814
24,0.007358
24,0.032457
24,0.009503
24,0.043385
24,0.034483
24,0.010789
24,0.029120
24,0.020296
24,0.033876
24,0.016021
24,0.025454
24,0.013494
24,0.011086
24,0.027323
24,0.027277
24,0.015849
24,0.014813
24,0.012686
24,0.014799
24,0.012946
24,0.015808
24,0.037034
24,0.022942
24,0.049236
24,0.042273
24,0.025927
24,0.014781
48,0.012582
48,0.005280
48,0.021446
48,0.012504
48,0.017056
48,0.013228
48,0.012665
48,0.004221
48,0.009369
48,0.013222
48,0.006390
48,0.011182
48,0.007917
48,0.013087
48,0.009334
48,0.008734
48,0.017469
48,0.021937
48,0.012921
48,0.022221
48,0.014502
48,0.020325
48,0.028806
48,0.024926
48,0.014360
48,0.008364
48,0.009125
48,0.010577
48,0.012739
48,0.008584
48,0.012109
48,0.013478
48,0.009593
48,0.019785
48,0.013152
48,0.017839
48,0.012386
48,0.003535
48,0.021655
48,0.013080
48,0.017151
48,0.016903
48,0.022059
48,0.015445
48,0.016654
48,0.011501
48,0.015403
48,0.014260
48,0.008852
48,0.009047
48,0.016417
72,0.004022
72,0.017696
72,0.009213
72,0.031743
72,0.011073
72,0.023748
72,0.011714
72,0.023716
72,0.018469
72,0.005684
72,0.018839
72,0.013057
72,0.023353
72,0.013368
72,0.007582
72,0.007870
72,0.008435
72,0.033456
72,0.011194
72,0.026185
72,0.010296
72,0.010599
72,0.005656
72,0.011368
72,0.015821
72,0.013464
72,0.012448
72,0.012353
72,0.010677
72,0.007401
72,0.018157
72,0.020349
72,0.007013
72,0.007503
72,0.002422
72,0.019938
72,0.015372
72,0.013123
72,0.016985
72,0.019634
72,0.024747
72,0.011018
72,0.016828
