K,mean
24,8.793453
48,8.742118
72,8.745218
96,8.746055
120,8.741545
144,8.737669
168,8.741449
192,8.743467
216,8.748882
240,8.748859
264,8.745037
288,8.747688
312,8.739584
336,8.745175
360,8.739547
384,8.743835
