K,mean
24,8.655274
48,8.645792
72,8.648130
96,8.647520
120,8.645861
144,8.646716
168,8.648086
192,8.648840
216,8.646104
240,8.646932
264,8.645527
288,8.646531
312,8.646701
336,8.646121
360,8.645769
384,8.647545
