K,value
24,7.995557
24,7.995395
24,7.990523
24,7.996729
24,7.994854
24,7.996075
24,7.991852
24,7.994455
24,7.996714
24,7.998992
24,7.996531
24,7.999012
24,7.998661
24,7.998857
24,7.998770
24,7.998978
24,7.993773
24,7.996399
24,7.998743
24,7.998942
24,7.995337
24,7.995867
24,7.996446
24,7.998092
24,7.998658
24,7.996007
24,7.998869
24,7.994648
24,7.995888
24,7.997242
24,7.998258
24,7.993374
24,7.996728
24,7.999347
24,7.996703
24,7.995879
24,7.996662
24,7.997232
24,7.998864
24,7.999000
24,7.993921
24,7.997714
24,7.999166
24,7.997612
24,7.996845
24,7.997623
24,7.997750
24,7.996552
24,7.993730
24,7.996636
24,7.999699
48,7.997063
48,7.997037
48,7.997425
48,7.997135
48,7.997292
48,7.997474
48,7.997216
48,7.997099
48,7.999337
48,7.999286
48,7.999271
48,7.999357
48,7.999332
48,7.999260
48,7.999311
48,7.999318
48,7.999269
48,7.999258
48,7.999308
48,7.999284
48,7.999223
48,7.999296
48,7.999341
48,7.999266
48,7.999260
48,7.999365
48,7.999819
48,7.999822
48,7.999811
48,7.999808
48,7.999828
48,7.999824
48,7.999825
48,7.999840
48,7.999822
48,7.999843
48,7.999831
48,7.999811
48,7.999837
48,7.999810
48,7.999832
48,7.999822
48,7.999828
48,7.999835
48,7.999816
48,7.999816
48,7.999831
48,7.999837
48,7.999820
48,7.999817
48,7.999963
72,7.997103
72,7.996907
72,7.997243
72,7.997252
72,7.997047
72,7.996857
72,7.997186
72,7.997025
72,7.999289
72,7.999252
72,7.999386
72,7.999289
72,7.999315
72,7.999272
72,7.999320
72,7.999338
72,7.999288
72,7.999319
72,7.999307
72,7.999281
72,7.999382
72,7.999339
72,7.999361
72,7.999337
72,7.999279
72,7.999324
72,7.999820
72,7.999822
72,7.999823
72,7.999809
72,7.999822
72,7.999816
72,7.999832
72,7.999821
72,7.999820
72,7.999813
72,7.999835
72,7.999832
72,7.999816
72,7.999824
72,7.999827
72,7.999828
72,7.999818
72,7.999823
72,7.999843
72,7.999819
72,7.999812
72,7.999815
72,7.999823
72,7.999820
72,7.999966
96,7.997140
96,7.997229
96,7.997095
96,7.997089
96,7.997217
96,7.997054
96,7.997237
96,7.997144
96,7.999312
96,7.999320
96,7.999364
96,7.999321
96,7.999293
96,7.999253
96,7.999346
96,7.999275
96,7.999295
96,7.999370
96,7.999319
96,7.999261
96,7.999354
96,7.999302
96,7.999341
96,7.999264
96,7.999290
96,7.999313
96,7.999828
96,7.999832
96,7.999835
96,7.999834
96,7.999823
96,7.999825
96,7.999811
96,7.999828
96,7.999816
96,7.999835
96,7.999826
96,7.999819
96,7.999831
96,7.999822
96,7.999834
96,7.999816
96,7.999823
96,7.999813
96,7.999822
96,7.999831
96,7.999822
96,7.999836
96,7.999833
96,7.999832
96,7.999965
120,7.997085
120,7.997375
120,7.997234
120,7.997368
120,7.997229
120,7.997122
120,7.997178
120,7.997179
120,7.999329
120,7.999226
120,7.999293
120,7.999300
120,7.999287
120,7.999316
120,7.999309
120,7.999293
120,7.999266
120,7.999341
120,7.999260
120,7.999245
120,7.999267
120,7.999324
120,7.999293
120,7.999296
120,7.999311
120,7.999252
120,7.999820
120,7.999824
120,7.999837
120,7.999829
120,7.999811
120,7.999819
120,7.999836
120,7.999811
120,7.999814
120,7.999831
120,7.999819
120,7.999832
120,7.999820
120,7.999838
120,7.999828
120,7.999840
120,7.999809
120,7.999821
120,7.999831
120,7.999805
120,7.999839
120,7.999818
120,7.999826
120,7.999824
120,7.999965
144,7.997266
144,7.997038
144,7.997458
144,7.997219
144,7.997169
144,7.996893
144,7.997021
144,7.996891
144,7.999289
144,7.999285
144,7.999313
144,7.999286
144,7.999293
144,7.999307
144,7.999280
144,7.999321
144,7.999271
144,7.999345
144,7.999342
144,7.999292
144,7.999363
144,7.999216
144,7.999263
144,7.999318
144,7.999294
144,7.999341
144,7.999816
144,7.999834
144,7.999838
144,7.999831
144,7.999827
144,7.999829
144,7.999824
144,7.999832
144,7.999822
144,7.999809
144,7.999842
144,7.999836
144,7.999831
144,7.999832
144,7.999815
144,7.999840
144,7.999831
144,7.999827
144,7.999818
144,7.999819
144,7.999830
144,7.999833
144,7.999822
144,7.999838
144,7.999964
168,7.997018
168,7.997228
168,7.997160
168,7.997282
168,7.997056
168,7.997207
168,7.997212
168,7.997363
168,7.999223
168,7.999274
168,7.999301
168,7.999338
168,7.999295
168,7.999323
168,7.999325
168,7.999321
168,7.999315
168,7.999307
168,7.999241
168,7.999257
168,7.999256
168,7.999301
168,7.999342
168,7.999312
168,7.999354
168,7.999275
168,7.999817
168,7.999840
168,7.999819
168,7.999831
168,7.999833
168,7.999810
168,7.999817
168,7.999830
168,7.999836
168,7.999828
168,7.999824
168,7.999833
168,7.999814
168,7.999825
168,7.999818
168,7.999810
168,7.999829
168,7.999819
168,7.999834
168,7.999824
168,7.999814
168,7.999825
168,7.999814
168,7.999841
168,7.999963
192,7.996955
192,7.997256
192,7.997283
192,7.997233
192,7.997138
192,7.997289
192,7.996931
192,7.997112
192,7.999265
192,7.999250
192,7.999270
192,7.999301
192,7.999340
192,7.999308
192,7.999309
192,7.999315
192,7.999362
192,7.999305
192,7.999265
192,7.999315
192,7.999323
192,7.999355
192,7.999301
192,7.999318
192,7.999241
192,7.999306
192,7.999831
192,7.999831
192,7.999806
192,7.999817
192,7.999833
192,7.999816
192,7.999831
192,7.999828
192,7.999833
192,7.999841
192,7.999825
192,7.999823
192,7.999844
192,7.999818
192,7.999824
192,7.999838
192,7.999822
192,7.999835
192,7.999819
192,7.999825
192,7.999826
192,7.999825
192,7.999809
192,7.999827
192,7.999963
216,7.997211
216,7.997265
216,7.997290
216,7.997308
216,7.997268
216,7.997143
216,7.997307
216,7.996994
216,7.999338
216,7.999223
216,7.999240
216,7.999286
216,7.999283
216,7.999381
216,7.999327
216,7.999300
216,7.999330
216,7.999299
216,7.999256
216,7.999323
216,7.999320
216,7.999255
216,7.999259
216,7.999353
216,7.999299
216,7.999253
216,7.999836
216,7.999827
216,7.999833
216,7.999815
216,7.999817
216,7.999815
216,7.999821
216,7.999832
216,7.999824
216,7.999815
216,7.999814
216,7.999831
216,7.999815
216,7.999822
216,7.999813
216,7.999827
216,7.999817
216,7.999826
216,7.999834
216,7.999825
216,7.999827
216,7.999823
216,7.999822
216,7.999824
216,7.999962
240,7.997249
240,7.997185
240,7.997347
240,7.997234
240,7.997118
240,7.997229
240,7.997075
240,7.996980
240,7.999315
240,7.999314
240,7.999308
240,7.999262
240,7.999308
240,7.999316
240,7.999371
240,7.999303
240,7.999237
240,7.999251
240,7.999235
240,7.999266
240,7.999295
240,7.999291
240,7.999305
240,7.999300
240,7.999371
240,7.999294
240,7.999820
240,7.999810
240,7.999827
240,7.999823
240,7.999813
240,7.999820
240,7.999830
240,7.999809
240,7.999815
240,7.999818
240,7.999832
240,7.999833
240,7.999825
240,7.999819
240,7.999815
240,7.999822
240,7.999821
240,7.999819
240,7.999834
240,7.999827
240,7.999825
240,7.999813
240,7.999831
240,7.999823
240,7.999965
264,7.997233
264,7.997166
264,7.997173
264,7.997138
264,7.997233
264,7.997550
264,7.997130
264,7.997129
264,7.999264
264,7.999252
264,7.999300
264,7.999248
264,7.999341
264,7.999269
264,7.999345
264,7.999319
264,7.999338
264,7.999253
264,7.999346
264,7.999303
264,7.999280
264,7.999342
264,7.999272
264,7.999342
264,7.999307
264,7.999255
264,7.999838
264,7.999822
264,7.999807
264,7.999826
264,7.999819
264,7.999828
264,7.999827
264,7.999820
264,7.999824
264,7.999829
264,7.999811
264,7.999826
264,7.999816
264,7.999814
264,7.999834
264,7.999835
264,7.999818
264,7.999823
264,7.999821
264,7.999811
264,7.999819
264,7.999815
264,7.999820
264,7.999815
264,7.999963
288,7.997203
288,7.997293
288,7.997313
288,7.997120
288,7.997406
288,7.997176
288,7.997059
288,7.997115
288,7.999341
288,7.999326
288,7.999340
288,7.999265
288,7.999286
288,7.999290
288,7.999291
288,7.999275
288,7.999322
288,7.999352
288,7.999330
288,7.999308
288,7.999241
288,7.999273
288,7.999293
288,7.999360
288,7.999251
288,7.999340
288,7.999820
288,7.999813
288,7.999810
288,7.999836
288,7.999810
288,7.999808
288,7.999822
288,7.999833
288,7.999825
288,7.999839
288,7.999824
288,7.999816
288,7.999818
288,7.999833
288,7.999833
288,7.999817
288,7.999825
288,7.999837
288,7.999830
288,7.999836
288,7.999827
288,7.999818
288,7.999816
288,7.999831
288,7.999962
312,7.996889
312,7.996993
312,7.997226
312,7.997277
312,7.997396
312,7.996944
312,7.997242
312,7.997228
312,7.999364
312,7.999324
312,7.999297
312,7.999340
312,7.999334
312,7.999302
312,7.999254
312,7.999310
312,7.999320
312,7.999262
312,7.999335
312,7.999283
312,7.999340
312,7.999277
312,7.999326
312,7.999288
312,7.999246
312,7.999231
312,7.999825
312,7.999834
312,7.999810
312,7.999839
312,7.999811
312,7.999817
312,7.999807
312,7.999816
312,7.999814
312,7.999826
312,7.999828
312,7.999823
312,7.999826
312,7.999845
312,7.999826
312,7.999823
312,7.999831
312,7.999815
312,7.999819
312,7.999832
312,7.999811
312,7.999815
312,7.999827
312,7.999836
312,7.999964
336,7.997296
336,7.996929
336,7.996903
336,7.997017
336,7.997313
336,7.997141
336,7.997137
336,7.997069
336,7.999370
336,7.999336
336,7.999215
336,7.999309
336,7.999346
336,7.999294
336,7.999337
336,7.999330
336,7.999319
336,7.999315
336,7.999311
336,7.999260
336,7.999315
336,7.999282
336,7.999308
336,7.999344
336,7.999310
336,7.999284
336,7.999820
336,7.999822
336,7.999812
336,7.999811
336,7.999833
336,7.999827
336,7.999820
336,7.999826
336,7.999829
336,7.999827
336,7.999818
336,7.999818
336,7.999817
336,7.999824
336,7.999833
336,7.999824
336,7.999828
336,7.999822
336,7.999814
336,7.999821
336,7.999831
336,7.999836
336,7.999831
336,7.999831
336,7.999964
360,7.997265
360,7.997353
360,7.997094
360,7.997089
360,7.997221
360,7.997016
360,7.997198
360,7.997086
360,7.999245
360,7.999325
360,7.999320
360,7.999320
360,7.999288
360,7.999380
360,7.999209
360,7.999352
360,7.999226
360,7.999298
360,7.999301
360,7.999291
360,7.999212
360,7.999328
360,7.999322
360,7.999273
360,7.999285
360,7.999309
360,7.999827
360,7.999832
360,7.999832
360,7.999821
360,7.999824
360,7.999804
360,7.999820
360,7.999816
360,7.999833
360,7.999825
360,7.999827
360,7.999826
360,7.999807
360,7.999820
360,7.999805
360,7.999834
360,7.999826
360,7.999828
360,7.999832
360,7.999832
360,7.999834
360,7.999800
360,7.999821
360,7.999833
360,7.999963
384,7.997341
384,7.997237
384,7.997143
384,7.996883
384,7.996828
384,7.997337
384,7.997079
384,7.997172
384,7.999348
384,7.999324
384,7.999337
384,7.999266
384,7.999319
384,7.999270
384,7.999232
384,7.999246
384,7.999220
384,7.999249
384,7.999229
384,7.999297
384,7.999337
384,7.999282
384,7.999304
384,7.999343
384,7.999209
384,7.999316
384,7.999820
384,7.999837
384,7.999818
384,7.999829
384,7.999821
384,7.999826
384,7.999824
384,7.999834
384,7.999831
384,7.999814
384,7.999834
384,7.999819
384,7.999825
384,7.999818
384,7.999835
384,7.999823
384,7.999826
384,7.999810
384,7.999829
384,7.999805
384,7.999836
384,7.999818
384,7.999826
384,7.999829
384,7.999963
