K,value
24,0.008826
24,0.026498
24,0.040378
24,0.030541
24,0.017127
24,0.017619
24,0.007358
24,0.034483
24,0.033876
24,0.011086
24,0.014813
24,0.015808
24,0.042273
48,0.005280
48,0.013228
48,0.013222
48,0.013087
48,0.021937
48,0.020325
48,0.008364
48,0.008584
48,0.019785
48,0.003535
48,0.016903
48,0.011501
48,0.009047
72,0.009213
72,0.011714
72,0.018839
72,0.007582
72,0.011194
72,0.005656
72,0.012448
72,0.018157
72,0.002422
72,0.016985
72,0.016828
72,0.005354
72,0.004058
96,0.018748
96,0.016892
96,0.014171
96,0.020246
96,0.016103
96,0.009839
96,0.014311
96,0.008896
96,0.016662
96,0.010827
96,0.011405
96,0.018914
120,0.022692
120,0.014056
120,0.019277
120,0.019623
120,0.015537
120,0.003566
120,0.015107
120,0.004768
120,0.007144
120,0.013890
120,0.007547
120,0.004574
120,0.015579
144,0.012291
144,0.009816
144,0.016788
144,0.015073
144,0.025749
144,0.025401
144,0.016371
144,0.009423
144,0.026487
144,0.013164
144,0.017979
144,0.012318
144,0.017105
168,0.018895
168,0.013820
168,0.017289
168,0.015428
168,0.010819
168,0.016243
168,0.014734
168,0.019729
168,0.018931
168,0.008002
168,0.007634
168,0.018400
168,0.011163
192,0.011443
192,0.021970
192,0.020250
192,0.013135
192,0.015270
192,0.014690
192,0.005598
192,0.015642
192,0.008377
192,0.020532
192,0.004897
192,0.002583
216,0.004308
216,0.011770
216,0.005904
216,0.013826
216,0.015347
216,0.018296
216,0.017694
216,0.006424
216,0.011745
216,0.007269
216,0.009540
216,0.021182
216,0.010362
240,0.006160
240,0.007471
240,0.026163
240,0.011817
240,0.014269
240,0.012800
240,0.014231
240,0.015333
240,0.016742
240,0.018045
240,0.015300
240,0.010597
240,0.009532
264,0.011961
264,0.011467
264,0.016020
264,0.023991
264,0.011463
264,0.010992
264,0.009527
264,0.016613
264,0.009814
264,0.003129
264,0.009663
264,0.025824
264,0.016944
288,0.014784
288,0.009121
288,0.003188
288,0.007502
288,0.015380
288,0.014383
288,0.026682
288,0.017671
288,0.015744
288,0.023848
288,0.012711
288,0.016075
312,0.006442
312,0.013007
312,0.010510
312,0.012630
312,0.004508
312,0.004610
312,0.021750
312,0.014761
312,0.012402
312,0.021098
312,0.009280
312,0.011557
312,0.012814
336,0.008898
336,0.016446
336,0.010694
336,0.007115
336,0.012834
336,0.016566
336,0.014512
336,0.011816
336,0.020926
336,0.013343
336,0.029098
336,0.005520
336,0.016146
360,0.018432
360,0.019666
360,0.024082
360,0.025709
360,0.020196
360,0.014481
360,0.022947
360,0.017683
360,0.026989
360,0.009125
360,0.017089
360,0.023170
360,0.016646
384,0.011934
384,0.017014
384,0.017466
384,0.012677
384,0.011667
384,0.010488
384,0.009097
384,0.011665
384,0.009857
384,0.011379
384,0.014986
384,0.016181
