K,mean
24,2540.628392
48,255.031055
72,255.698584
96,252.742190
120,255.763420
144,253.085161
168,255.311425
192,254.081873
216,256.070367
240,257.125761
264,256.660639
288,254.488451
312,255.938704
336,255.196225
360,256.964637
384,257.681965
