K,npcr_mean,uaci_mean
24,100.000000,33.365468
48,99.999998,33.334777
72,99.999998,33.333557
96,99.999988,33.327028
120,99.999998,33.334518
144,99.999994,33.330220
168,99.999998,33.338485
192,99.999989,33.323213
216,99.999998,33.335572
240,99.999994,33.336063
264,99.999996,33.341814
288,99.999988,33.328847
312,99.999994,33.338226
336,99.999998,33.335198
360,99.999991,33.331604
384,99.999996,33.333170
