K,mean
24,8.737271
48,8.744129
72,8.745137
96,8.744059
120,8.744353
144,8.743122
168,8.742318
192,8.744112
216,8.743676
240,8.744425
264,8.744424
288,8.742229
312,8.744124
336,8.744508
360,8.745053
384,8.744755
