K,npcr_mean,uaci_mean
24,100.000000,33.232566
48,99.999401,33.322841
72,99.999581,33.327052
96,99.999115,33.343836
120,99.999161,33.323439
144,99.998742,33.341542
168,99.998742,33.313044
192,99.998323,33.337654
216,99.998323,33.304163
240,99.997903,33.300856
264,99.997904,33.355086
288,99.997485,33.378449
312,99.997484,33.363377
336,99.997065,33.346351
360,99.997065,33.353062
384,99.996646,33.329864
