K,mean
24,0.016830
48,0.014136
72,0.014377
96,0.016281
120,0.016762
144,0.013833
168,0.013843
192,0.013284
216,0.015116
240,0.013498
264,0.013943
288,0.014813
312,0.014918
336,0.014297
360,0.015332
384,0.012091
