K,mean
24,636.984322
48,255.554720
72,260.179201
96,257.959090
120,257.552395
144,255.492652
168,256.237648
192,253.938424
216,254.973181
240,257.864061
264,256.515626
288,254.333106
312,254.588391
336,255.082404
360,254.205123
384,255.770860
