K,mean
24,0.022847
48,0.013831
72,0.014011
96,0.013993
120,0.013953
144,0.015399
168,0.014248
192,0.014013
216,0.014088
240,0.014473
264,0.014649
288,0.015026
312,0.014092
336,0.015067
360,0.015993
384,0.013688
