K,value
216,8.7485
216,9.2777
216,8.5150
240,7.2921
240,6.2365
240,9.9446
240,8.8217
240,8.9289
240,8.1642
240,8.5944
240,8.6284
240,7.6311
240,8.7730
240,7.9842
240,8.0821
240,8.0797
240,8.4739
240,9.4213
240,8.8470
240,8.3454
240,9.3888
240,8.9676
240,9.2263
240,8.7984
240,8.4243
240,8.6880
240,8.6501
240,9.3608
240,8.4457
240,8.4803
240,8.7068
240,8.3785
240,8.5826
240,9.4185
240,8.7896
240,8.4960
240,8.5474
240,8.7143
240,8.7079
240,9.1595
240,9.4400
240,9.2060
240,9.5504
240,9.2709
240,9.6073
240,9.3536
240,9.1887
240,9.0204
240,9.3552
240,8.6005
240,8.6536
240,8.7466
240,9.2772
240,8.5154
264,7.2922
264,6.2542
264,9.9540
264,8.8406
264,8.9076
264,8.1736
264,8.5843
264,8.6275
264,7.6276
264,8.7777
264,7.9777
264,8.0792
264,8.0863
264,8.4676
264,9.4116
264,8.8472
264,8.3581
264,9.3749
264,8.9734
264,9.2331
264,8.7907
264,8.4212
264,8.6856
264,8.6490
264,9.3628
264,8.4446
264,8.4830
264,8.7120
264,8.3758
264,8.5827
264,9.4146
264,8.7831
264,8.4926
264,8.5485
264,8.7103
264,8.7092
264,9.1589
264,9.4404
264,9.2068
264,9.5431
264,9.2679
264,9.6068
264,9.3539
264,9.1860
264,9.0218
264,9.3560
264,8.6058
264,8.6607
264,8.7503
264,9.2760
264,8.5171
288,7.2543
288,6.2367
288,9.9624
288,8.8251
288,8.9042
288,8.1644
288,8.5910
288,8.6328
288,7.6374
288,8.7575
288,7.9651
288,8.0820
288,8.0756
288,8.4705
288,9.4188
288,8.8462
288,8.3577
288,9.3725
288,8.9725
288,9.2211
288,8.7869
288,8.4193
288,8.6966
288,8.6419
288,9.3590
288,8.4478
288,8.4844
288,8.7119
288,8.3800
288,8.5805
288,9.4126
288,8.7945
288,8.4898
288,8.5438
288,8.7134
288,8.7081
288,9.1579
288,9.4401
288,9.2095
288,9.5476
288,9.2726
288,9.6089
288,9.3515
288,9.1873
288,9.0153
288,9.3556
288,8.6025
288,8.6540
288,8.7431
288,9.2754
288,8.5141
312,7.2689
312,6.2635
312,9.9537
312,8.8216
312,8.9089
312,8.1572
312,8.5938
312,8.6406
312,7.6302
312,8.7737
312,7.9803
312,8.0833
312,8.0763
312,8.4670
312,9.4110
312,8.8455
312,8.3553
312,9.3846
312,8.9726
312,9.2208
312,8.7797
312,8.4190
312,8.6953
312,8.6539
312,9.3648
312,8.4481
312,8.4870
312,8.7096
312,8.3797
312,8.5896
312,9.4164
312,8.7887
312,8.4950
312,8.5447
312,8.7049
312,8.7096
312,9.1575
312,9.4406
312,9.2104
312,9.5460
312,9.2759
312,9.6080
312,9.3595
312,9.1867
312,9.0203
312,9.3508
312,8.5990
312,8.6567
312,8.7493
312,9.2795
312,8.5153
336,7.2949
336,6.2477
336,9.9661
336,8.8127
336,8.9032
336,8.1700
336,8.5930
336,8.6427
336,7.6308
336,8.7760
336,7.9891
336,8.0850
336,8.0811
336,8.4715
336,9.4188
336,8.8430
336,8.3562
336,9.3792
336,8.9782
336,9.2197
336,8.7816
336,8.4249
336,8.6719
336,8.6504
336,9.3559
336,8.4531
336,8.4853
336,8.7103
336,8.3783
336,8.5850
336,9.4181
336,8.7905
336,8.5010
336,8.5488
336,8.7098
336,8.7062
336,9.1611
336,9.4345
336,9.2056
336,9.5472
336,9.2740
336,9.6049
336,9.3531
336,9.1884
336,9.0205
336,9.3512
336,8.6044
336,8.6589
336,8.7441
336,9.2766
336,8.5154
360,7.2875
360,6.2442
360,9.9607
360,8.8472
360,8.9212
360,8.1384
360,8.5842
360,8.6529
360,7.6399
360,8.7793
360,7.9802
360,8.0795
360,8.0825
360,8.4685
360,9.4190
360,8.8463
360,8.3602
360,9.3692
360,8.9790
360,9.2245
360,8.7840
360,8.4254
360,8.6880
360,8.6508
360,9.3604
360,8.4556
360,8.4850
360,8.7093
360,8.3777
360,8.5854
360,9.4171
360,8.7883
360,8.4992
360,8.5458
360,8.7090
360,8.7100
360,9.1620
360,9.4362
360,9.2097
360,9.5462
360,9.2684
360,9.6096
360,9.3573
360,9.1852
360,9.0180
360,9.3522
360,8.6016
360,8.6579
360,8.7467
360,9.2725
360,8.5188
384,7.2821
384,6.2504
384,9.9333
384,8.8552
384,8.9209
384,8.1470
384,8.6053
384,8.6505
384,7.6244
384,8.7887
384,7.9788
384,8.0920
384,8.0715
384,8.4672
384,9.4143
384,8.8469
384,8.3639
384,9.3722
384,8.9789
384,9.2289
384,8.7819
384,8.4192
384,8.6864
384,8.6475
384,9.3627
384,8.4462
384,8.4834
384,8.7053
384,8.3776
384,8.5862
384,9.4137
384,8.7905
384,8.4909
384,8.5482
384,8.7105
384,8.7060
384,9.1597
384,9.4477
384,9.2070
384,9.5446
384,9.2710
384,9.6115
384,9.3519
384,9.1870
384,9.0236
384,9.3472
384,8.6027
384,8.6547
384,8.7492
384,9.2806
384,8.5155
