K,mean
24,100.000000
48,99.999936
72,99.999301
96,99.998347
120,99.997838
144,99.996503
168,99.995931
192,99.995104
216,99.994341
240,99.993006
264,99.992498
288,99.991671
312,99.990845
336,99.989764
360,99.989382
384,99.987539
