K,mean
24,0.016890
48,0.013011
72,0.015633
96,0.016285
120,0.014831
144,0.014107
168,0.015625
192,0.013419
216,0.015294
240,0.014059
264,0.013950
288,0.013974
312,0.014500
336,0.015568
360,0.015254
384,0.014295
