K,value
216,0.021123
216,0.010989
216,0.021555
240,0.008914
240,0.017370
240,0.017624
240,0.028621
240,0.013674
240,0.011943
240,0.013875
240,0.018154
240,0.015882
240,0.016001
240,0.008213
240,0.010970
240,0.007775
240,0.009106
240,0.015815
240,0.003650
240,0.006619
240,0.011773
240,0.021680
240,0.024316
240,0.014017
240,0.015773
240,0.019142
240,0.012701
240,0.013315
240,0.015530
240,0.025981
240,0.012244
240,0.009189
240,0.005646
240,0.024639
240,0.020923
240,0.014532
240,0.027968
240,0.010322
240,0.009466
240,0.011175
240,0.006544
240,0.015017
240,0.014284
240,0.011665
240,0.007156
240,0.021626
240,0.013742
240,0.012661
240,0.019867
240,0.011610
240,0.004908
240,0.010834
240,0.008940
240,0.013602
264,0.018990
264,0.020280
264,0.014590
264,0.007658
264,0.027210
264,0.007157
264,0.009527
264,0.004788
264,0.008811
264,0.018766
264,0.013196
264,0.021277
264,0.014224
264,0.020588
264,0.015041
264,0.009976
264,0.015287
264,0.021572
264,0.007360
264,0.018584
264,0.018922
264,0.002873
264,0.006174
264,0.018751
264,0.007971
264,0.032799
264,0.005718
264,0.011788
264,0.015521
264,0.015198
264,0.014035
264,0.005319
264,0.013274
264,0.009156
264,0.013480
264,0.013839
264,0.013880
264,0.008462
264,0.017622
264,0.013804
264,0.015551
264,0.004469
264,0.016197
264,0.027300
264,0.011418
264,0.018353
264,0.016270
264,0.010784
264,0.015031
264,0.011472
264,0.011147
288,0.007346
288,0.010165
288,0.013392
288,0.007020
288,0.018330
288,0.007491
288,0.010781
288,0.010428
288,0.010676
288,0.013845
288,0.012760
288,0.003584
288,0.001670
288,0.016437
288,0.016584
288,0.008701
288,0.020618
288,0.012928
288,0.019253
288,0.011710
288,0.007714
288,0.015834
288,0.028078
288,0.008522
288,0.017544
288,0.017031
288,0.015206
288,0.013969
288,0.020297
288,0.022135
288,0.015393
288,0.011129
288,0.010179
288,0.019505
288,0.022389
288,0.018702
288,0.020931
288,0.012437
288,0.012889
288,0.015806
288,0.019478
288,0.011038
288,0.017198
288,0.014990
288,0.020349
288,0.007590
