K,value
216,8.7507
216,9.2800
216,8.5180
240,7.3107
240,6.2612
240,9.9623
240,8.8441
240,8.9254
240,8.1674
240,8.6039
240,8.6554
240,7.6432
240,8.7850
240,7.9884
240,8.0866
240,8.0830
240,8.4873
240,9.4215
240,8.8406
240,8.3643
240,9.3788
240,8.9817
240,9.2297
240,8.7825
240,8.4261
240,8.6864
240,8.6481
240,9.3691
240,8.4505
240,8.4884
240,8.7146
240,8.3773
240,8.5875
240,9.4159
240,8.7907
240,8.4961
240,8.5482
240,8.7115
240,8.7098
240,9.1585
240,9.4424
240,9.2114
240,9.5512
240,9.2725
240,9.6091
240,9.3538
240,9.1859
240,9.0212
240,9.3563
240,8.6026
240,8.6580
240,8.7521
240,9.2769
240,8.5167
264,7.3156
264,6.2673
264,9.9558
264,8.8556
264,8.9385
264,8.1802
264,8.6075
264,8.6737
264,7.6252
264,8.7668
264,7.9773
264,8.0763
264,8.0774
264,8.4703
264,9.4071
264,8.8426
264,8.3526
264,9.3689
264,8.9601
264,9.2282
264,8.7701
264,8.4178
264,8.6778
264,8.6404
264,9.3479
264,8.4411
264,8.4818
264,8.7108
264,8.3769
264,8.5857
264,9.4082
264,8.7916
264,8.4966
264,8.5480
264,8.7100
264,8.7085
264,9.1625
264,9.4402
264,9.2026
264,9.5435
264,9.2734
264,9.6033
264,9.3531
264,9.1867
264,9.0207
264,9.3545
264,8.6027
264,8.6580
264,8.7491
264,9.2713
264,8.5151
288,7.2913
288,6.2510
288,9.9262
288,8.8275
288,8.9190
288,8.1711
288,8.5903
288,8.6498
288,7.6342
288,8.7801
288,7.9881
288,8.0957
288,8.0773
288,8.4766
288,9.4133
288,8.8423
288,8.3609
288,9.3854
288,8.9808
288,9.2317
288,8.7862
288,8.4295
288,8.6941
288,8.6508
288,9.3589
288,8.4542
288,8.4878
288,8.7127
288,8.3797
288,8.5879
288,9.4171
288,8.7947
288,8.4948
288,8.5477
288,8.7142
288,8.7121
288,9.1660
288,9.4459
288,9.2104
288,9.5527
288,9.2770
288,9.6119
288,9.3607
288,9.1900
288,9.0260
288,9.3603
288,8.6081
288,8.6608
288,8.7495
288,9.2800
288,8.5178
312,7.2850
312,6.2354
312,9.9391
312,8.8170
312,8.8961
312,8.1327
312,8.5584
312,8.6333
312,7.6282
312,8.7710
312,7.9767
312,8.0834
312,8.0760
312,8.4653
