K,npcr_mean,uaci_mean
24,99.621582,33.252879
48,99.607192,33.491585
72,99.603028,33.417960
96,99.589532,33.501228
120,99.609949,33.507990
144,99.603882,33.500086
168,99.612789,33.506164
192,99.596468,33.507532
216,99.601326,33.445236
240,99.588075,33.409728
264,99.575879,33.434301
288,99.573117,33.423781
312,99.565341,33.574119
336,99.602977,33.428347
360,99.576378,33.424224
384,99.591908,33.431505
