K,npcr_mean,uaci_mean
24,99.615810,33.494470
48,99.609349,33.462025
72,99.612253,33.465614
96,99.611366,33.460272
120,99.607332,33.461945
144,99.609623,33.465595
168,99.609762,33.467535
192,99.609214,33.457453
216,99.606789,33.457254
240,99.608595,33.457922
264,99.611613,33.465055
288,99.610485,33.464558
312,99.607720,33.469353
336,99.607119,33.469198
360,99.608019,33.461732
384,99.610202,33.468573
