K,mean
24,8.685131
48,8.643406
72,8.648725
96,8.642996
120,8.644550
144,8.642569
168,8.634475
192,8.636263
216,8.649435
240,8.660487
264,8.653568
288,8.644686
312,8.629775
336,8.648439
360,8.652494
384,8.648894
