image,volume,K,num_pixels,psnr_plain_cipher_db,psnr_plain_wrongkey_db,psnr_roundtrip_db
4.1.07,misc,72,65536,8.5952,8.5838,Inf
4.1.08,misc,72,65536,8.6439,8.6384,Inf
4.2.01,misc,72,262144,7.6255,7.6275,Inf
4.2.03,misc,72,262144,8.7853,8.7744,Inf
4.2.05,misc,72,262144,7.9784,7.9818,Inf
4.2.06,misc,72,262144,8.0938,8.0825,Inf
4.2.07,misc,72,262144,8.0803,8.0772,Inf
house,misc,72,262144,8.4764,8.4780,Inf
2.1.01,aerials,72,262144,9.4101,9.4214,Inf
2.1.02,aerials,72,262144,8.8486,8.8520,Inf
2.1.03,aerials,72,262144,8.3686,8.3625,Inf
2.1.04,aerials,72,262144,9.3752,9.3804,Inf
2.1.05,aerials,72,262144,8.9814,8.9768,Inf
2.1.06,aerials,72,262144,9.2288,9.2273,Inf
2.1.07,aerials,72,262144,8.7811,8.7857,Inf
2.1.08,aerials,72,262144,8.4186,8.4280,Inf
2.1.09,aerials,72,262144,8.6846,8.6902,Inf
2.1.10,aerials,72,262144,8.6484,8.6531,Inf
2.1.11,aerials,72,262144,9.3523,9.3662,Inf
2.1.12,aerials,72,262144,8.4548,8.4471,Inf
2.2.01,aerials,72,1048576,8.4817,8.4868,Inf
2.2.02,aerials,72,1048576,8.7123,8.7098,Inf
2.2.03,aerials,72,1048576,8.3741,8.3755,Inf
2.2.04,aerials,72,1048576,8.5838,8.5823,Inf
2.2.05,aerials,72,1048576,9.4185,9.4153,Inf
2.2.06,aerials,72,1048576,8.7884,8.7860,Inf
2.2.07,aerials,72,1048576,8.4971,8.4933,Inf
2.2.08,aerials,72,1048576,8.5455,8.5496,Inf
2.2.09,aerials,72,1048576,8.7102,8.7089,Inf
2.2.10,aerials,72,1048576,8.7105,8.7070,Inf
2.2.11,aerials,72,1048576,9.1593,9.1597,Inf
2.2.12,aerials,72,1048576,9.4403,9.4392,Inf
2.2.13,aerials,72,1048576,9.2057,9.2155,Inf
2.2.14,aerials,72,1048576,9.5453,9.5492,Inf
2.2.15,aerials,72,1048576,9.2694,9.2694,Inf
2.2.16,aerials,72,1048576,9.6088,9.6082,Inf
2.2.17,aerials,72,1048576,9.3520,9.3529,Inf
2.2.18,aerials,72,1048576,9.1846,9.1843,Inf
2.2.19,aerials,72,1048576,9.0182,9.0174,Inf
2.2.20,aerials,72,1048576,9.3538,9.3535,Inf
2.2.21,aerials,72,1048576,8.6020,8.6030,Inf
2.2.22,aerials,72,1048576,8.6498,8.6546,Inf
2.2.23,aerials,72,1048576,8.7462,8.7465,Inf
2.2.24,aerials,72,1048576,9.2764,9.2779,Inf
wash-ir,aerials,72,5062500,8.5152,8.5182,Inf
4.1.01,misc,96,65536,7.2762,7.2877,Inf
4.1.02,misc,96,65536,6.2519,6.2498,Inf
4.1.03,misc,96,65536,9.9528,9.9404,Inf
4.1.04,misc,96,65536,8.8287,8.8435,Inf
4.1.05,misc,96,65536,8.9107,8.9118,Inf
4.1.06,misc,96,65536,8.1672,8.1669,Inf
4.1.07,misc,96,65536,8.5972,8.5932,Inf
4.1.08,misc,96,65536,8.6353,8.6380,Inf
4.2.01,misc,96,262144,7.6242,7.6262,Inf
4.2.03,misc,96,262144,8.7667,8.7767,Inf
4.2.05,misc,96,262144,7.9833,7.9840,Inf
4.2.06,misc,96,262144,8.0846,8.0869,Inf
4.2.07,misc,96,262144,8.0677,8.0786,Inf
house,misc,96,262144,8.4802,8.4740,Inf
2.1.01,aerials,96,262144,9.4017,9.4181,Inf
2.1.02,aerials,96,262144,8.8436,8.8520,Inf
2.1.03,aerials,96,262144,8.3693,8.3593,Inf
2.1.04,aerials,96,262144,9.3811,9.3784,Inf
2.1.05,aerials,96,262144,8.9785,8.9787,Inf
2.1.06,aerials,96,262144,9.2323,9.2279,Inf
2.1.07,aerials,96,262144,8.7768,8.7746,Inf
2.1.08,aerials,96,262144,8.4207,8.4236,Inf
2.1.09,aerials,96,262144,8.6826,8.6907,Inf
2.1.10,aerials,96,262144,8.6513,8.6455,Inf
2.1.11,aerials,96,262144,9.3720,9.3641,Inf
2.1.12,aerials,96,262144,8.4489,8.4451,Inf
2.2.01,aerials,96,1048576,8.4859,8.4887,Inf
2.2.02,aerials,96,1048576,8.7070,8.7172,Inf
2.2.03,aerials,96,1048576,8.3738,8.3798,Inf
2.2.04,aerials,96,1048576,8.5855,8.5855,Inf
2.2.05,aerials,96,1048576,9.4128,9.4173,Inf
2.2.06,aerials,96,1048576,8.7860,8.7912,Inf
