image,volume,K,num_pixels,mean_chi2_plain,mean_chi2_cipher,chi2_critical_005,cipher_uniform_pass
2.2.16,aerials,48,1048576,3088125.5768,258.5311,293.2465,1
2.2.17,aerials,48,1048576,2111634.7624,249.9728,293.2465,1
2.2.18,aerials,48,1048576,3315796.2762,239.6001,293.2465,1
2.2.19,aerials,48,1048576,4653792.5623,267.4769,293.2465,1
2.2.20,aerials,48,1048576,3223388.8162,267.4600,293.2465,1
2.2.21,aerials,48,1048576,3338600.8636,245.2122,293.2465,1
2.2.22,aerials,48,1048576,6022088.4924,236.8423,293.2465,1
2.2.23,aerials,48,1048576,11172208.3312,261.1859,293.2465,1
2.2.24,aerials,48,1048576,2781243.8275,266.1693,293.2465,1
wash-ir,aerials,48,5062500,5355559.2556,261.2505,293.2465,1
4.1.01,misc,72,65536,161648.1927,262.5469,293.2465,1
4.1.02,misc,72,65536,279285.9792,281.5026,293.2465,1
4.1.03,misc,72,65536,757390.6979,250.7578,293.2465,1
4.1.04,misc,72,65536,81482.5964,248.9089,293.2465,1
4.1.05,misc,72,65536,317258.1536,268.4036,293.2465,1
4.1.06,misc,72,65536,89401.5182,283.8646,293.2465,1
4.1.07,misc,72,65536,486579.0911,255.9531,293.2465,1
4.1.08,misc,72,65536,338837.9115,270.2995,293.2465,1
4.2.01,misc,72,262144,951959.3021,257.8835,293.2465,1
4.2.03,misc,72,262144,101863.4616,271.8913,293.2465,1
4.2.05,misc,72,262144,822925.9603,223.0918,293.2465,1
4.2.06,misc,72,262144,223807.8535,258.3893,293.2465,1
4.2.07,misc,72,262144,340999.4414,249.0658,293.2465,1
house,misc,72,262144,257525.5384,264.1934,293.2465,1
2.1.01,aerials,72,262144,305263.2174,246.9805,293.2465,1
2.1.02,aerials,72,262144,285237.8646,240.5371,293.2465,1
2.1.03,aerials,72,262144,2147568.3815,259.1868,293.2465,1
2.1.04,aerials,72,262144,878469.8587,247.5059,293.2465,1
2.1.05,aerials,72,262144,265542.1608,251.8926,293.2465,1
2.1.06,aerials,72,262144,181814.6641,261.3132,293.2465,1
2.1.07,aerials,72,262144,1506062.4518,224.6055,293.2465,1
2.1.08,aerials,72,262144,1304657.1211,240.5430,293.2465,1
2.1.09,aerials,72,262144,1534474.9251,232.0879,293.2465,1
2.1.10,aerials,72,262144,842741.8743,241.2129,293.2465,1
2.1.11,aerials,72,262144,382965.7695,261.9180,293.2465,1
2.1.12,aerials,72,262144,1041168.6172,245.3132,293.2465,1
2.2.01,aerials,72,1048576,1606924.9424,262.2459,293.2465,1
2.2.02,aerials,72,1048576,7994223.7020,258.4595,293.2465,1
2.2.03,aerials,72,1048576,6187844.7371,257.7192,293.2465,1
2.2.04,aerials,72,1048576,3690644.5820,277.8729,293.2465,1
2.2.05,aerials,72,1048576,1298775.5493,259.0275,293.2465,1
2.2.06,aerials,72,1048576,7396619.0374,267.2979,293.2465,1
2.2.07,aerials,72,1048576,4860051.3880,243.5630,293.2465,1
2.2.08,aerials,72,1048576,1082751.9800,260.5729,293.2465,1
2.2.09,aerials,72,1048576,6732990.8791,262.3276,293.2465,1
2.2.10,aerials,72,1048576,7587851.9578,271.8255,293.2465,1
2.2.11,aerials,72,1048576,4219744.8717,239.9637,293.2465,1
2.2.12,aerials,72,1048576,4033947.6772,244.1175,293.2465,1
2.2.13,aerials,72,1048576,2556570.1512,267.3291,293.2465,1
2.2.14,aerials,72,1048576,2863126.6483,255.4543,293.2465,1
2.2.15,aerials,72,1048576,5841825.9139,250.7816,293.2465,1
2.2.16,aerials,72,1048576,3088125.5768,249.7349,293.2465,1
2.2.17,aerials,72,1048576,2111634.7624,264.2026,293.2465,1
2.2.18,aerials,72,1048576,3315796.2762,257.0675,293.2465,1
2.2.19,aerials,72,1048576,4653792.5623,228.9172,293.2465,1
2.2.20,aerials,72,1048576,3223388.8162,262.7567,293.2465,1
2.2.21,aerials,72,1048576,3338600.8636,272.5941,293.2465,1
2.2.22,aerials,72,1048576,6022088.4924,269.0124,293.2465,1
2.2.23,aerials,72,1048576,11172208.3312,257.1237,293.2465,1
2.2.24,aerials,72,1048576,2781243.8275,261.6668,293.2465,1
wash-ir,aerials,72,5062500,5355559.2556,239.1451,293.2465,1
4.1.01,misc,96,65536,161648.1927,259.7083,293.2465,1
4.1.02,misc,96,65536,279285.9792,251.4896,293.2465,1
4.1.03,misc,96,65536,757390.6979,264.0130,293.2465,1
4.1.04,misc,96,65536,81482.5964,263.9609,293.2465,1
4.1.05,misc,96,65536,317258.1536,252.4245,293.2465,1
4.1.06,misc,96,65536,89401.5182,267.8177,293.2465,1
4.1.07,misc,96,65536,486579.0911,251.4818,293.2465,1
4.1.08,misc,96,65536,338837.9115,259.7031,293.2465,1
4.2.01,misc,96,262144,951959.3021,250.4779,293.2465,1
4.2.03,misc,96,262144,101863.4616,247.2467,293.2465,1
4.2.05,misc,96,262144,822925.9603,231.0775,293.2465,1
4.2.06,misc,96,262144,223807.8535,246.6816,293.2465,1
4.2.07,misc,96,262144,340999.4414,256.9701,293.2465,1
house,misc,96,262144,257525.5384,270.9818,293.2465,1
2.1.01,aerials,96,262144,305263.2174,237.6055,293.2465,1
2.1.02,aerials,96,262144,285237.8646,263.6751,293.2465,1
2.1.03,aerials,96,262144,2147568.3815,256.1263,293.2465,1
2.1.04,aerials,96,262144,878469.8587,228.9570,293.2465,1
2.1.05,aerials,96,262144,265542.1608,247.0059,293.2465,1
2.1.06,aerials,96,262144,181814.6641,268.9603,293.2465,1
2.1.07,aerials,96,262144,1506062.4518,234.8607,293.2465,1
2.1.08,aerials,96,262144,1304657.1211,253.3698,293.2465,1
2.1.09,aerials,96,262144,1534474.9251,239.8197,293.2465,1
2.1.10,aerials,96,262144,842741.8743,267.2181,293.2465,1
2.1.11,aerials,96,262144,382965.7695,258.1159,293.2465,1
2.1.12,aerials,96,262144,1041168.6172,249.4518,293.2465,1
2.2.01,aerials,96,1048576,1606924.9424,250.0799,293.2465,1
2.2.02,aerials,96,1048576,7994223.7020,243.7515,293.2465,1
2.2.03,aerials,96,1048576,6187844.7371,240.4455,293.2465,1
2.2.04,aerials,96,1048576,3690644.5820,241.4629,293.2465,1
2.2.05,aerials,96,1048576,1298775.5493,257.3353,293.2465,1
2.2.06,aerials,96,1048576,7396619.0374,253.9215,293.2465,1
2.2.07,aerials,96,1048576,4860051.3880,275.1815,293.2465,1
2.2.08,aerials,96,1048576,1082751.9800,250.7205,293.2465,1
2.2.09,aerials,96,1048576,6732990.8791,267.1369,293.2465,1
2.2.10,aerials,96,1048576,7587851.9578,239.4945,293.2465,1
2.2.11,aerials,96,1048576,4219744.8717,253.4351,293.2465,1
2.2.12,aerials,96,1048576,4033947.6772,263.3660,293.2465,1
2.2.13,aerials,96,1048576,2556570.1512,245.0793,293.2465,1
2.2.14,aerials,96,1048576,2863126.6483,259.2731,293.2465,1
2.2.15,aerials,96,1048576,5841825.9139,241.4256,293.2465,1
2.2.16,aerials,96,1048576,3088125.5768,267.4655,293.2465,1
2.2.17,aerials,96,1048576,2111634.7624,257.1458,293.2465,1
2.2.18,aerials,96,1048576,3315796.2762,271.9276,293.2465,1
2.2.19,aerials,96,1048576,4653792.5623,258.3504,293.2465,1
2.2.20,aerials,96,1048576,3223388.8162,245.4032,293.2465,1
2.2.21,aerials,96,1048576,3338600.8636,258.2860,293.2465,1
2.2.22,aerials,96,1048576,6022088.4924,237.9694,293.2465,1
2.2.23,aerials,96,1048576,11172208.3312,242.6346,293.2465,1
2.2.24,aerials,96,1048576,2781243.8275,243.6160,293.2465,1
wash-ir,aerials,96,5062500,5355559.2556,245.7435,293.2465,1
4.1.01,misc,120,65536,161648.1927,264.7786,293.2465,1
4.1.02,misc,120,65536,279285.9792,237.9714,293.2465,1
4.1.03,misc,120,65536,757390.6979,250.6875,293.2465,1
4.1.04,misc,120,65536,81482.5964,239.3099,293.2465,1
4.1.05,misc,120,65536,317258.1536,251.7812,293.2465,1
4.1.06,misc,120,65536,89401.5182,261.5156,293.2465,1
4.1.07,misc,120,65536,486579.0911,256.4245,293.2465,1
4.1.08,misc,120,65536,338837.9115,256.5156,293.2465,1
4.2.01,misc,120,262144,951959.3021,244.2604,293.2465,1
4.2.03,misc,120,262144,101863.4616,280.9674,293.2465,1
4.2.05,misc,120,262144,822925.9603,256.7122,293.2465,1
4.2.06,misc,120,262144,223807.8535,254.3587,293.2465,1
4.2.07,misc,120,262144,340999.4414,258.7865,293.2465,1
house,misc,120,262144,257525.5384,248.7142,293.2465,1
2.1.01,aerials,120,262144,305263.2174,251.3164,293.2465,1
2.1.02,aerials,120,262144,285237.8646,256.8952,293.2465,1
2.1.03,aerials,120,262144,2147568.3815,266.6556,293.2465,1
2.1.04,aerials,120,262144,878469.8587,239.3008,293.2465,1
2.1.05,aerials,120,262144,265542.1608,268.5176,293.2465,1
2.1.06,aerials,120,262144,181814.6641,274.8138,293.2465,1
