image,K,num_pixels,mean_chi2_plain,mean_chi2_cipher,chi2_critical_005,cipher_uniform_pass
4.1.02,72,65536,279285.9792,254.0312,293.2465,1
4.1.03,72,65536,757390.6979,286.2760,293.2465,1
4.1.04,72,65536,81482.5964,240.6120,293.2465,1
4.1.05,72,65536,317258.1536,222.6172,293.2465,1
4.1.06,72,65536,89401.5182,264.1745,293.2465,1
4.1.07,72,65536,486579.0911,269.1042,293.2465,1
4.1.08,72,65536,338837.9115,272.6667,293.2465,1
4.2.01,72,262144,951959.3021,250.9577,293.2465,1
4.2.03,72,262144,101863.4616,281.0846,293.2465,1
4.2.05,72,262144,822925.9603,263.5195,293.2465,1
4.2.06,72,262144,223807.8535,227.3307,293.2465,1
4.2.07,72,262144,340999.4414,267.4180,293.2465,1
house,72,262144,257525.5384,255.4525,293.2465,1
2.1.01,72,262144,305263.2174,250.1296,293.2465,1
2.1.02,72,262144,285237.8646,250.9408,293.2465,1
2.1.03,72,262144,2147568.3815,246.6224,293.2465,1
2.1.04,72,262144,878469.8587,253.7246,293.2465,1
2.1.05,72,262144,265542.1608,257.0560,293.2465,1
2.1.06,72,262144,181814.6641,258.1237,293.2465,1
2.1.07,72,262144,1506062.4518,268.2493,293.2465,1
2.1.08,72,262144,1304657.1211,236.2493,293.2465,1
2.1.09,72,262144,1534474.9251,268.2474,293.2465,1
2.1.10,72,262144,842741.8743,251.4779,293.2465,1
2.1.11,72,262144,382965.7695,259.6797,293.2465,1
2.1.12,72,262144,1041168.6172,252.3952,293.2465,1
2.2.01,72,1048576,1606924.9424,260.3433,293.2465,1
2.2.02,72,1048576,7994223.7020,262.7090,293.2465,1
2.2.03,72,1048576,6187844.7371,250.2619,293.2465,1
2.2.04,72,1048576,3690644.5820,260.2152,293.2465,1
2.2.05,72,1048576,1298775.5493,279.4305,293.2465,1
2.2.06,72,1048576,7396619.0374,255.9235,293.2465,1
2.2.07,72,1048576,4860051.3880,257.5980,293.2465,1
2.2.08,72,1048576,1082751.9800,245.2834,293.2465,1
2.2.09,72,1048576,6732990.8791,261.6012,293.2465,1
2.2.10,72,1048576,7587851.9578,248.6839,293.2465,1
2.2.11,72,1048576,4219744.8717,241.7609,293.2465,1
2.2.12,72,1048576,4033947.6772,270.1528,293.2465,1
2.2.13,72,1048576,2556570.1512,248.2240,293.2465,1
2.2.14,72,1048576,2863126.6483,259.4578,293.2465,1
2.2.15,72,1048576,5841825.9139,262.2863,293.2465,1
2.2.16,72,1048576,3088125.5768,232.6457,293.2465,1
2.2.17,72,1048576,2111634.7624,259.3454,293.2465,1
2.2.18,72,1048576,3315796.2762,260.8563,293.2465,1
2.2.19,72,1048576,4653792.5623,235.1432,293.2465,1
2.2.20,72,1048576,3223388.8162,238.8231,293.2465,1
2.2.21,72,1048576,3338600.8636,252.0516,293.2465,1
2.2.22,72,1048576,6022088.4924,244.7308,293.2465,1
2.2.23,72,1048576,11172208.3312,256.0112,293.2465,1
2.2.24,72,1048576,2781243.8275,248.9959,293.2465,1
wash-ir,72,5062500,5355559.2556,248.3780,293.2465,1
4.1.01,96,65536,161648.1927,240.4453,293.2465,1
4.1.02,96,65536,279285.9792,258.2474,293.2465,1
4.1.03,96,65536,757390.6979,248.5703,293.2465,1
4.1.04,96,65536,81482.5964,273.2474,293.2465,1
4.1.05,96,65536,317258.1536,227.4297,293.2465,1
4.1.06,96,65536,89401.5182,240.6562,293.2465,1
4.1.07,96,65536,486579.0911,252.7161,293.2465,1
4.1.08,96,65536,338837.9115,258.1771,293.2465,1
4.2.01,96,262144,951959.3021,245.6270,293.2465,1
4.2.03,96,262144,101863.4616,251.7930,293.2465,1
4.2.05,96,262144,822925.9603,283.4199,293.2465,1
4.2.06,96,262144,223807.8535,249.9447,293.2465,1
4.2.07,96,262144,340999.4414,231.5970,293.2465,1
house,96,262144,257525.5384,255.2194,293.2465,1
2.1.01,96,262144,305263.2174,277.7246,293.2465,1
2.1.02,96,262144,285237.8646,266.4779,293.2465,1
2.1.03,96,262144,2147568.3815,250.0208,293.2465,1
2.1.04,96,262144,878469.8587,252.2865,293.2465,1
2.1.05,96,262144,265542.1608,252.6016,293.2465,1
2.1.06,96,262144,181814.6641,251.8288,293.2465,1
2.1.07,96,262144,1506062.4518,239.1458,293.2465,1
2.1.08,96,262144,1304657.1211,255.9505,293.2465,1
2.1.09,96,262144,1534474.9251,254.5358,293.2465,1
2.1.10,96,262144,842741.8743,245.6810,293.2465,1
2.1.11,96,262144,382965.7695,234.1452,293.2465,1
2.1.12,96,262144,1041168.6172,262.0703,293.2465,1
2.2.01,96,1048576,1606924.9424,214.5251,293.2465,1
2.2.02,96,1048576,7994223.7020,264.4876,293.2465,1
2.2.03,96,1048576,6187844.7371,269.4408,293.2465,1
2.2.04,96,1048576,3690644.5820,282.3494,293.2465,1
2.2.05,96,1048576,1298775.5493,261.2397,293.2465,1
2.2.06,96,1048576,7396619.0374,253.7829,293.2465,1
2.2.07,96,1048576,4860051.3880,247.3576,293.2465,1
2.2.08,96,1048576,1082751.9800,272.5534,293.2465,1
2.2.09,96,1048576,6732990.8791,237.6099,293.2465,1
2.2.10,96,1048576,7587851.9578,262.4315,293.2465,1
2.2.11,96,1048576,4219744.8717,243.9893,293.2465,1
2.2.12,96,1048576,4033947.6772,258.1753,293.2465,1
2.2.13,96,1048576,2556570.1512,271.0526,293.2465,1
2.2.14,96,1048576,2863126.6483,255.9346,293.2465,1
2.2.15,96,1048576,5841825.9139,249.4434,293.2465,1
2.2.16,96,1048576,3088125.5768,262.9762,293.2465,1
2.2.17,96,1048576,2111634.7624,268.7536,293.2465,1
2.2.18,96,1048576,3315796.2762,255.9468,293.2465,1
2.2.19,96,1048576,4653792.5623,259.7386,293.2465,1
2.2.20,96,1048576,3223388.8162,253.7336,293.2465,1
2.2.21,96,1048576,3338600.8636,262.5910,293.2465,1
2.2.22,96,1048576,6022088.4924,259.2935,293.2465,1
2.2.23,96,1048576,11172208.3312,266.1047,293.2465,1
2.2.24,96,1048576,2781243.8275,246.8158,293.2465,1
wash-ir,96,5062500,5355559.2556,247.4683,293.2465,1
4.1.01,120,65536,161648.1927,243.8906,293.2465,1
4.1.02,120,65536,279285.9792,285.9323,293.2465,1
4.1.03,120,65536,757390.6979,268.7135,293.2465,1
4.1.04,120,65536,81482.5964,244.8698,293.2465,1
4.1.05,120,65536,317258.1536,240.3906,293.2465,1
4.1.06,120,65536,89401.5182,249.1250,293.2465,1
4.1.07,120,65536,486579.0911,270.0573,293.2465,1
4.1.08,120,65536,338837.9115,276.5573,293.2465,1
4.2.01,120,262144,951959.3021,264.8118,293.2465,1
4.2.03,120,262144,101863.4616,249.8835,293.2465,1
4.2.05,120,262144,822925.9603,265.9102,293.2465,1
4.2.06,120,262144,223807.8535,277.8659,293.2465,1
4.2.07,120,262144,340999.4414,236.1530,293.2465,1
house,120,262144,257525.5384,240.5807,293.2465,1
2.1.01,120,262144,305263.2174,242.8275,293.2465,1
2.1.02,120,262144,285237.8646,252.8509,293.2465,1
2.1.03,120,262144,2147568.3815,276.5658,293.2465,1
2.1.04,120,262144,878469.8587,243.0000,293.2465,1
2.1.05,120,262144,265542.1608,248.4375,293.2465,1
2.1.06,120,262144,181814.6641,279.8477,293.2465,1
2.1.07,120,262144,1506062.4518,270.1556,293.2465,1
2.1.08,120,262144,1304657.1211,258.2676,293.2465,1
2.1.09,120,262144,1534474.9251,247.4251,293.2465,1
2.1.10,120,262144,842741.8743,238.0892,293.2465,1
2.1.11,120,262144,382965.7695,250.1263,293.2465,1
2.1.12,120,262144,1041168.6172,272.5573,293.2465,1
2.2.01,120,1048576,1606924.9424,246.8841,293.2465,1
2.2.02,120,1048576,7994223.7020,262.7562,293.2465,1
2.2.03,120,1048576,6187844.7371,242.4762,293.2465,1
