image,K,num_pixels,psnr_plain_cipher_db,psnr_plain_wrongkey_db,psnr_roundtrip_db
2.2.04,264,1048576,8.5837,8.5851,Inf
2.2.05,264,1048576,9.4125,9.4124,Inf
2.2.06,264,1048576,8.7910,8.7889,Inf
2.2.07,264,1048576,8.4966,8.4944,Inf
2.2.08,264,1048576,8.5469,8.5485,Inf
2.2.09,264,1048576,8.7127,8.7112,Inf
2.2.10,264,1048576,8.7102,8.7084,Inf
2.2.11,264,1048576,9.1611,9.1600,Inf
2.2.12,264,1048576,9.4414,9.4370,Inf
2.2.13,264,1048576,9.2102,9.2057,Inf
2.2.14,264,1048576,9.5497,9.5489,Inf
2.2.15,264,1048576,9.2734,9.2687,Inf
2.2.16,264,1048576,9.6064,9.6056,Inf
2.2.17,264,1048576,9.3533,9.3539,Inf
2.2.18,264,1048576,9.1901,9.1864,Inf
2.2.19,264,1048576,9.0176,9.0189,Inf
2.2.20,264,1048576,9.3537,9.3548,Inf
2.2.21,264,1048576,8.6048,8.6025,Inf
2.2.22,264,1048576,8.6570,8.6570,Inf
2.2.23,264,1048576,8.7450,8.7478,Inf
2.2.24,264,1048576,9.2765,9.2757,Inf
wash-ir,264,5062500,8.5155,8.5163,Inf
4.1.01,288,65536,7.2959,7.2639,Inf
4.1.02,288,65536,6.2482,6.2317,Inf
4.1.03,288,65536,9.9515,9.9402,Inf
4.1.04,288,65536,8.8389,8.8163,Inf
4.1.05,288,65536,8.9184,8.8924,Inf
4.1.06,288,65536,8.1770,8.1347,Inf
4.1.07,288,65536,8.5905,8.5614,Inf
4.1.08,288,65536,8.6336,8.6128,Inf
4.2.01,288,262144,7.6233,7.6226,Inf
4.2.03,288,262144,8.7775,8.7660,Inf
4.2.05,288,262144,7.9742,7.9728,Inf
4.2.06,288,262144,8.0781,8.0808,Inf
4.2.07,288,262144,8.0750,8.0685,Inf
house,288,262144,8.4667,8.4670,Inf
2.1.01,288,262144,9.4140,9.4095,Inf
2.1.02,288,262144,8.8470,8.8393,Inf
2.1.03,288,262144,8.3617,8.3480,Inf
2.1.04,288,262144,9.3878,9.3691,Inf
2.1.05,288,262144,8.9888,8.9699,Inf
2.1.06,288,262144,9.2191,9.2152,Inf
2.1.07,288,262144,8.7764,8.7720,Inf
2.1.08,288,262144,8.4248,8.4155,Inf
2.1.09,288,262144,8.6870,8.6806,Inf
2.1.10,288,262144,8.6546,8.6403,Inf
2.1.11,288,262144,9.3599,9.3505,Inf
2.1.12,288,262144,8.4515,8.4456,Inf
2.2.01,288,1048576,8.4857,8.4840,Inf
2.2.02,288,1048576,8.7091,8.7117,Inf
2.2.03,288,1048576,8.3753,8.3760,Inf
2.2.04,288,1048576,8.5803,8.5833,Inf
2.2.05,288,1048576,9.4153,9.4109,Inf
2.2.06,288,1048576,8.7899,8.7889,Inf
2.2.07,288,1048576,8.4902,8.4930,Inf
2.2.08,288,1048576,8.5510,8.5478,Inf
2.2.09,288,1048576,8.7123,8.7087,Inf
2.2.10,288,1048576,8.7086,8.7077,Inf
2.2.11,288,1048576,9.1590,9.1611,Inf
2.2.12,288,1048576,9.4419,9.4392,Inf
2.2.13,288,1048576,9.2097,9.2095,Inf
2.2.14,288,1048576,9.5503,9.5462,Inf
2.2.15,288,1048576,9.2727,9.2701,Inf
2.2.16,288,1048576,9.6063,9.6075,Inf
2.2.17,288,1048576,9.3509,9.3545,Inf
2.2.18,288,1048576,9.1904,9.1845,Inf
2.2.19,288,1048576,9.0169,9.0206,Inf
2.2.20,288,1048576,9.3566,9.3529,Inf
2.2.21,288,1048576,8.6021,8.6051,Inf
2.2.22,288,1048576,8.6558,8.6545,Inf
2.2.23,288,1048576,8.7507,8.7481,Inf
2.2.24,288,1048576,9.2753,9.2746,Inf
wash-ir,288,5062500,8.5166,8.5166,Inf
4.1.01,312,65536,7.2769,7.3036,Inf
4.1.02,312,65536,6.2434,6.2644,Inf
4.1.03,312,65536,9.9464,9.9674,Inf
4.1.04,312,65536,8.8397,8.8604,Inf
4.1.05,312,65536,8.9269,8.9353,Inf
4.1.06,312,65536,8.1572,8.1716,Inf
4.1.07,312,65536,8.5851,8.6176,Inf
4.1.08,312,65536,8.6547,8.6538,Inf
4.2.01,312,262144,7.6280,7.6307,Inf
4.2.03,312,262144,8.7750,8.7792,Inf
4.2.05,312,262144,7.9801,7.9809,Inf
4.2.06,312,262144,8.0768,8.0831,Inf
4.2.07,312,262144,8.0742,8.0798,Inf
house,312,262144,8.4750,8.4737,Inf
2.1.01,312,262144,9.4157,9.4162,Inf
2.1.02,312,262144,8.8458,8.8509,Inf
2.1.03,312,262144,8.3565,8.3587,Inf
2.1.04,312,262144,9.3718,9.3868,Inf
2.1.05,312,262144,8.9854,8.9750,Inf
2.1.06,312,262144,9.2234,9.2245,Inf
2.1.07,312,262144,8.7743,8.7781,Inf
2.1.08,312,262144,8.4230,8.4294,Inf
2.1.09,312,262144,8.6850,8.6898,Inf
2.1.10,312,262144,8.6510,8.6451,Inf
2.1.11,312,262144,9.3514,9.3566,Inf
2.1.12,312,262144,8.4477,8.4466,Inf
2.2.01,312,1048576,8.4877,8.4860,Inf
2.2.02,312,1048576,8.7131,8.7161,Inf
2.2.03,312,1048576,8.3762,8.3802,Inf
2.2.04,312,1048576,8.5866,8.5873,Inf
2.2.05,312,1048576,9.4102,9.4168,Inf
2.2.06,312,1048576,8.7881,8.7939,Inf
2.2.07,312,1048576,8.4960,8.4965,Inf
2.2.08,312,1048576,8.5481,8.5477,Inf
2.2.09,312,1048576,8.7095,8.7127,Inf
2.2.10,312,1048576,8.7098,8.7121,Inf
2.2.11,312,1048576,9.1566,9.1614,Inf
2.2.12,312,1048576,9.4392,9.4439,Inf
2.2.13,312,1048576,9.2125,9.2075,Inf
2.2.14,312,1048576,9.5435,9.5465,Inf
2.2.15,312,1048576,9.2690,9.2746,Inf
2.2.16,312,1048576,9.6086,9.6098,Inf
2.2.17,312,1048576,9.3593,9.3560,Inf
2.2.18,312,1048576,9.1886,9.1897,Inf
2.2.19,312,1048576,9.0162,9.0233,Inf
2.2.20,312,1048576,9.3589,9.3543,Inf
2.2.21,312,1048576,8.6025,8.6029,Inf
2.2.22,312,1048576,8.6558,8.6602,Inf
2.2.23,312,1048576,8.7472,8.7518,Inf
2.2.24,312,1048576,9.2752,9.2731,Inf
wash-ir,312,5062500,8.5179,8.5174,Inf
4.1.01,336,65536,7.2818,7.2731,Inf
4.1.02,336,65536,6.2409,6.2424,Inf
4.1.03,336,65536,9.9504,9.9467,Inf
4.1.04,336,65536,8.8543,8.8373,Inf
4.1.05,336,65536,8.9102,8.9071,Inf
4.1.06,336,65536,8.1528,8.1693,Inf
4.1.07,336,65536,8.6044,8.5950,Inf
4.1.08,336,65536,8.6569,8.6395,Inf
4.2.01,336,262144,7.6248,7.6344,Inf
4.2.03,336,262144,8.7712,8.7753,Inf
4.2.05,336,262144,7.9698,7.9806,Inf
4.2.06,336,262144,8.0745,8.0858,Inf
4.2.07,336,262144,8.0843,8.0752,Inf
house,336,262144,8.4592,8.4736,Inf
2.1.01,336,262144,9.4118,9.4149,Inf
2.1.02,336,262144,8.8280,8.8469,Inf
2.1.03,336,262144,8.3542,8.3536,Inf
2.1.04,336,262144,9.3813,9.3787,Inf
2.1.05,336,262144,8.9792,8.9725,Inf
2.1.06,336,262144,9.2292,9.2317,Inf
2.1.07,336,262144,8.7797,8.7892,Inf
2.1.08,336,262144,8.4182,8.4214,Inf
2.1.09,336,262144,8.6887,8.6915,Inf
2.1.10,336,262144,8.6424,8.6429,Inf
2.1.11,336,262144,9.3556,9.3725,Inf
2.1.12,336,262144,8.4468,8.4466,Inf
2.2.01,336,1048576,8.4864,8.4863,Inf
2.2.02,336,1048576,8.7116,8.7134,Inf
2.2.03,336,1048576,8.3748,8.3768,Inf
2.2.04,336,1048576,8.5817,8.5861,Inf
2.2.05,336,1048576,9.4168,9.4196,Inf
2.2.06,336,1048576,8.7913,8.7887,Inf
2.2.07,336,1048576,8.4907,8.4949,Inf
2.2.08,336,1048576,8.5456,8.5510,Inf
2.2.09,336,1048576,8.7098,8.7109,Inf
2.2.10,336,1048576,8.7074,8.7103,Inf
2.2.11,336,1048576,9.1603,9.1614,Inf
2.2.12,336,1048576,9.4425,9.4406,Inf
2.2.13,336,1048576,9.2068,9.2120,Inf
2.2.14,336,1048576,9.5491,9.5480,Inf
2.2.15,336,1048576,9.2713,9.2751,Inf
2.2.16,336,1048576,9.6092,9.6086,Inf
2.2.17,336,1048576,9.3549,9.3563,Inf
2.2.18,336,1048576,9.1876,9.1875,Inf
2.2.19,336,1048576,9.0226,9.0219,Inf
2.2.20,336,1048576,9.3578,9.3542,Inf
2.2.21,336,1048576,8.6030,8.6030,Inf
2.2.22,336,1048576,8.6561,8.6591,Inf
2.2.23,336,1048576,8.7512,8.7491,Inf
2.2.24,336,1048576,9.2732,9.2799,Inf
wash-ir,336,5062500,8.5171,8.5188,Inf
4.1.01,360,65536,7.2955,7.2796,Inf
4.1.02,360,65536,6.2473,6.2300,Inf
4.1.03,360,65536,9.9334,9.9296,Inf
4.1.04,360,65536,8.8200,8.8354,Inf
4.1.05,360,65536,8.9166,8.8834,Inf
4.1.06,360,65536,8.1787,8.1517,Inf
4.1.07,360,65536,8.6051,8.5632,Inf
4.1.08,360,65536,8.6471,8.6314,Inf
4.2.01,360,262144,7.6336,7.6321,Inf
4.2.03,360,262144,8.7775,8.7798,Inf
4.2.05,360,262144,7.9821,7.9780,Inf
4.2.06,360,262144,8.0747,8.0844,Inf
4.2.07,360,262144,8.0779,8.0795,Inf
house,360,262144,8.4713,8.4684,Inf
2.1.01,360,262144,9.4205,9.4192,Inf
2.1.02,360,262144,8.8440,8.8436,Inf
2.1.03,360,262144,8.3535,8.3580,Inf
2.1.04,360,262144,9.3813,9.3753,Inf
2.1.05,360,262144,8.9800,8.9763,Inf
2.1.06,360,262144,9.2345,9.2284,Inf
2.1.07,360,262144,8.7944,8.7797,Inf
2.1.08,360,262144,8.4138,8.4247,Inf
2.1.09,360,262144,8.6906,8.6881,Inf
2.1.10,360,262144,8.6492,8.6468,Inf
2.1.11,360,262144,9.3602,9.3587,Inf
2.1.12,360,262144,8.4605,8.4485,Inf
2.2.01,360,1048576,8.4860,8.4880,Inf
2.2.02,360,1048576,8.7055,8.7066,Inf
2.2.03,360,1048576,8.3704,8.3748,Inf
2.2.04,360,1048576,8.5842,8.5829,Inf
2.2.05,360,1048576,9.4140,9.4138,Inf
2.2.06,360,1048576,8.7903,8.7882,Inf
2.2.07,360,1048576,8.4897,8.4931,Inf
2.2.08,360,1048576,8.5495,8.5478,Inf
2.2.09,360,1048576,8.7091,8.7056,Inf
2.2.10,360,1048576,8.7080,8.7066,Inf
2.2.11,360,1048576,9.1586,9.1605,Inf
2.2.12,360,1048576,9.4342,9.4383,Inf
2.2.13,360,1048576,9.2096,9.2110,Inf
2.2.14,360,1048576,9.5480,9.5471,Inf
2.2.15,360,1048576,9.2686,9.2705,Inf
2.2.16,360,1048576,9.6055,9.6093,Inf
2.2.17,360,1048576,9.3550,9.3521,Inf
2.2.18,360,1048576,9.1874,9.1825,Inf
2.2.19,360,1048576,9.0201,9.0173,Inf
2.2.20,360,1048576,9.3551,9.3543,Inf
2.2.21,360,1048576,8.5999,8.6040,Inf
2.2.22,360,1048576,8.6575,8.6537,Inf
2.2.23,360,1048576,8.7484,8.7456,Inf
2.2.24,360,1048576,9.2763,9.2766,Inf
wash-ir,360,5062500,8.5162,8.5175,Inf
4.1.01,384,65536,7.2928,7.2739,Inf
4.1.02,384,65536,6.2473,6.2366,Inf
4.1.03,384,65536,9.9590,9.9326,Inf
4.1.04,384,65536,8.8158,8.8266,Inf
4.1.05,384,65536,8.9051,8.8931,Inf
4.1.06,384,65536,8.1487,8.1479,Inf
4.1.07,384,65536,8.5898,8.5627,Inf
4.1.08,384,65536,8.6455,8.6234,Inf
4.2.01,384,262144,7.6326,7.6360,Inf
4.2.03,384,262144,8.7739,8.7828,Inf
4.2.05,384,262144,7.9786,7.9843,Inf
4.2.06,384,262144,8.0801,8.0812,Inf
4.2.07,384,262144,8.0798,8.0723,Inf
house,384,262144,8.4751,8.4764,Inf
2.1.01,384,262144,9.4247,9.4104,Inf
2.1.02,384,262144,8.8347,8.8472,Inf
2.1.03,384,262144,8.3596,8.3615,Inf
2.1.04,384,262144,9.3824,9.3693,Inf
2.1.05,384,262144,8.9770,8.9801,Inf
2.1.06,384,262144,9.2286,9.2232,Inf
2.1.07,384,262144,8.7887,8.7852,Inf
2.1.08,384,262144,8.4237,8.4300,Inf
2.1.09,384,262144,8.6849,8.6895,Inf
2.1.10,384,262144,8.6404,8.6524,Inf
2.1.11,384,262144,9.3655,9.3644,Inf
2.1.12,384,262144,8.4497,8.4516,Inf
2.2.01,384,1048576,8.4848,8.4896,Inf
2.2.02,384,1048576,8.7090,8.7146,Inf
2.2.03,384,1048576,8.3750,8.3769,Inf
2.2.04,384,1048576,8.5816,8.5848,Inf
2.2.05,384,1048576,9.4117,9.4155,Inf
2.2.06,384,1048576,8.7899,8.7918,Inf
2.2.07,384,1048576,8.4920,8.4973,Inf
2.2.08,384,1048576,8.5516,8.5506,Inf
2.2.09,384,1048576,8.7066,8.7109,Inf
2.2.10,384,1048576,8.7124,8.7105,Inf
2.2.11,384,1048576,9.1611,9.1613,Inf
2.2.12,384,1048576,9.4441,9.4427,Inf
2.2.13,384,1048576,9.2083,9.2101,Inf
2.2.14,384,1048576,9.5472,9.5479,Inf
2.2.15,384,1048576,9.2740,9.2736,Inf
2.2.16,384,1048576,9.6057,9.6059,Inf
2.2.17,384,1048576,9.3484,9.3571,Inf
2.2.18,384,1048576,9.1803,9.1895,Inf
2.2.19,384,1048576,9.0217,9.0206,Inf
2.2.20,384,1048576,9.3548,9.3534,Inf
2.2.21,384,1048576,8.6014,8.6013,Inf
2.2.22,384,1048576,8.6583,8.6554,Inf
2.2.23,384,1048576,8.7504,8.7505,Inf
2.2.24,384,1048576,9.2728,9.2757,Inf
wash-ir,384,5062500,8.5162,8.5159,Inf
